lottery_id,lottery_name,lottery_status,address,borough,postcode,deadline,unit_type,ami_tier,income_range_min,income_range_max,date_applied,application_status,documents_submitted,eligibility_interview_date,notes
2069,Hooper Street Apartments,Tenant Selection,301 HOOPER STREET,Brooklyn,11211,2021-04-07,Studio/2BR/3BR,LI,76351,122160,,Not Applied,,,
2069,Hooper Street Apartments,Tenant Selection,293 HOOPER STREET,Brooklyn,11211,2021-04-07,2BR,LI,76351,122160,,Not Applied,,,
2244,KB25 - Waiting List,Tenant Selection,325 EAST 25 STREET,Manhattan,10010,2021-09-24,Studio/1BR/2BR,LI/Mod,76351,183240,,Not Applied,,,
2322,The Victoria Tower Residences,Tenant Selection,230 WEST 126 STREET,Manhattan,10027,2022-01-10,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
2432,Capstone Condominiums,Tenant Selection,940 Myrtle Ave,Brooklyn,11206,2022-01-21,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
2973,524 East 14th Street Waiting List,Tenant Selection,524 EAST 14 STREET,Manhattan,10009,2022-08-01,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
2943,Park 79 Apartments,Tenant Selection,117 WEST 79 STREET,Manhattan,10024,2022-08-05,Studio,VLI,35641,76350,,Not Applied,,,
3170,435 West 31st Street Waiting List,Tenant Selection,435 WEST 31 STREET,Manhattan,10001,2022-10-17,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
3198,555 Tenth Avenue - Waiting List,Tenant Selection,555 10 AVENUE,Manhattan,10018,2022-10-27,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
3183,416 and 420 Kent Avenue Waiting List,Tenant Selection,416 KENT AVENUE,Brooklyn,11249,2022-11-14,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
3183,416 and 420 Kent Avenue Waiting List,Tenant Selection,420 KENT AVENUE,Brooklyn,11249,2022-11-14,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
3134,8 Marcy Avenue Apartments,Tenant Selection,8 Marcy Ave,Brooklyn,11211,2022-12-12,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
3352,60 Fulton Street Apartments - Waiting list,Tenant Selection,56 FULTON STREET,Manhattan,10038,2023-01-23,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
3370,American Copper - Waiting List,Tenant Selection,626 1 AVENUE,Manhattan,10016,2023-01-23,Studio/1BR/2BR/3BR,LI,76351,122160,,Not Applied,,,
3546,30th and 11th Apartments,Tenant Selection,606 WEST 30 STREET,Manhattan,10001,2023-06-26,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
3855,Enclave at The Cathedral Waitlist,Tenant Selection,400 WEST 113 STREET,Manhattan,10025,2023-09-18,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
3081,605 West 42nd Street Apartments - Waiting List,Tenant Selection,605 WEST 42 STREET,Manhattan,10036,2023-09-25,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
3826,88 East 127th Street Apartments,Tenant Selection,88 E 127th St,Manhattan,10035,2023-10-09,Studio/1BR/2BR,VLI,35641,76350,,Not Applied,,,
3986,Virginia House Senior Residences,Tenant Selection,124 EAST 112 STREET,Manhattan,10029,2023-10-19,Studio/1BR,VLI,35641,76350,,Not Applied,,,
4167,Emerald Green - Waiting List,Tenant Selection,320 WEST 38 STREET,Manhattan,10018,2024-01-12,Studio/1BR/2BR,VLI,35641,76350,,Not Applied,,,
4387,221 West 29th Street Waitlist,Tenant Selection,221 WEST 29 STREET,Manhattan,10001,2024-02-05,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
4129,LINDEN GROVE SENIOR RESIDENCES,Tenant Selection,223 Linden St,Brooklyn,11221,2024-02-09,Studio/1BR,VLI,35641,76350,,Not Applied,,,
4444,21 West End - Waiting List,Tenant Selection,21 WEST END AVENUE,Manhattan,10023,2024-02-12,Studio/1BR/2BR/3BR,VLI,35641,76350,,Not Applied,,,
4372,266 West 96th Street Apartments,Tenant Selection,266 W 96th St,Manhattan,10025,2024-02-16,Studio/1BR/2BR/3BR,LI,76351,122160,,Not Applied,,,
4461,42 West 33rd Street Waiting List,Tenant Selection,42 WEST 33 STREET,Manhattan,10001,2024-02-20,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
4349,1638 Park Avenue Apartments,Tenant Selection,1638 Park Ave,Manhattan,10029,2024-03-18,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
4452,633 Marcy Avenue Apartment - Waiting List,Tenant Selection,633 MARCY AVENUE,Brooklyn,11206,2024-03-25,1BR/2BR,LI,76351,122160,,Not Applied,,,
4505,The MiMa - Waiting List,Tenant Selection,450 WEST 42 STREET,Manhattan,10036,2024-04-01,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
4316,Rheingold Senior Residences,Tenant Selection,15 Montieth St,Brooklyn,11206,2024-04-15,Studio/1BR,VLI,35641,76350,,Not Applied,,,
4586,645 East 9th Street Apartments,Tenant Selection,645 E 9th St,Manhattan,10009,2024-04-19,1BR/2BR,LI,76351,122160,,Not Applied,,,
4405,312 West 43rd Street Apartments,Tenant Selection,312 W 43rd St,Manhattan,10036,2024-04-22,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
4574,451 Tenth Avenue Apartments,Tenant Selection,451 10 AVENUE,Manhattan,10018,2024-06-10,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
4817,Amana NYC,Tenant Selection,112 Seaman Ave,Manhattan,10034,2024-06-25,Studio/1BR/2BR,LI,76351,122160,,Not Applied,,,
4727,1510 BROADWAY APARTMENTS,Tenant Selection,1510 BROADWAY,Brooklyn,11221,2024-07-18,Studio/1BR/2BR/3BR,ELI,0,35640,,Not Applied,,,
4846,828 Metropolitan Avenue Apartments,Tenant Selection,828 Metropolitan Ave,Brooklyn,11211,2024-08-09,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
4709,606 West 57th Street - Waiting List,Tenant Selection,606 WEST 57 STREET,Manhattan,10019,2024-08-12,Studio/1BR/2BR/3BR,VLI/LI,35641,122160,,Not Applied,,,
4741,339 West 38TH Street Apartments,Tenant Selection,341 WEST 38 STREET,Manhattan,10018,2024-08-19,Studio/1BR/2BR,VLI/LI,35641,122160,,Not Applied,,,
4932,ATTORNEY STREET APARTMENTS,Tenant Selection,165 Broome St,Manhattan,10002,2024-08-28,Studio/1BR/2BR/3BR,ELI,0,35640,,Not Applied,,,
