project_id,project_name,num_buildings,total_units,avg_units_per_building,extremely_low_income_units,very_low_income_units,low_income_units,address,postcode,community_board,latitude,longitude,building_total_units,studio_units,_1_br_units,_2_br_units,_3_br_units,reporting_construction_type,building_completion_date
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,8,,1,2111 FREDERICK DOUGLASS BOULEVARD,10026,MN-10,40.803216,-73.956262,13,,,13,,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,4,,3,2113 FREDERICK DOUGLASS BOULEVARD,10026,MN-10,40.80327,-73.956222,9,,1,5,3,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,5,1,1,2115 FREDERICK DOUGLASS BOULEVARD,10026,MN-10,40.803325,-73.956182,9,,1,5,3,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,7,1,,2117 FREDERICK DOUGLASS BOULEVARD,10026,MN-10,40.80338,-73.956142,9,,1,6,2,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,4,2,,2121 FREDERICK DOUGLASS BOULEVARD,10026,MN-10,40.80349,-73.956059,9,,,6,3,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,5,,1,2123 FREDERICK DOUGLASS BOULEVARD,10026,MN-10,40.803545,-73.95602,9,,,6,3,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,,,9,955 AMSTERDAM AVENUE,10025,MN-07,40.800979,-73.9653,13,,9,3,1,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,7,2,3,963 AMSTERDAM AVENUE,10025,MN-07,40.801251,-73.965101,13,,13,,,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,4,,2,924 COLUMBUS AVENUE,10025,MN-07,40.798785,-73.963207,8,,8,,,Preservation,2021-07-14
69490,HP MORNINGSIDE HEIGHTS PORTFOLIO HDFC.YR15.FY21,48,679,14.1,2,,1,926 COLUMBUS AVENUE,10025,MN-07,40.798846,-73.963163,8,,7,,,Preservation,2021-07-14
