"lottery_id","lottery_name","development_type","reporting_construction_type","unit_count","hpd_building_id","hc_building_id","house_number","street_name","borough","unit_distribution_studio","unit_distribution_1bed","unit_distribution_2bed","unit_distribution_3bed","unit_distribution_4bed","applied_income_ami_ext_low","applied_income_ami_very_low","applied_income_ami_low","applied_income_ami_moderate","applied_income_ami_middle","applied_income_ami_above","address_zipcode","address_latitude","address_longitude","address_communitydistrict","address_citycouncildistrict","address_buildingidentificationnumber","address_bbl","address_censustrack2020","address_nta2020"
"3600","422 East 31 Street","Rental","New Construction","3","256929","5986","422","EAST 31 STREET","BK",,"1","2",,,,,,,"3",,"11226","40.640426","-73.947494","317","45","3428876","3049640016","828","BK1701"
"4673","456 Blake Avenue Apartments","Rental","New Construction","3","931125","6743","456","BLAKE AVENUE","BK",,"1","1","1",,,,,,"3",,"11212","40.666708","-73.902375","316","42","3084423","3037800028","910","BK1602"
"4594","2754 Creston Avenue Apartments","Rental","New Construction","19","59296","6700","2754","Creston Ave","BX","19",,,,,,,,,"19",,"10468","40.869377","-73.89323","207","14","2129723","2033150029","40303","BX0702"
"4071","2882 86th Street Apartment","Rental","New Construction","2","991001","6365","2882","86th St","BK",,,"2",,,,,,,"2",,"11223","40.591331","-73.976319","313","47","3429074","3071670128","386","BK1501"
"7322","The Danby","Rental","New Construction","35","0","7774","170","W 225th St","MN",,"30","5",,,,,,,"35",,"10463","40.876538","-73.912814","208","10","1000000","1022150065","309","BX0802"
"2286","150 Lenox Road Apartments","Rental","New Construction","13","324075","3844","150","LENOX ROAD","BK",,,"13",,,,,,,"13",,"11226","40.653867","-73.954518","317","40","3116648","3050840036","822","BK1701"
"2673","3506 - 3508 Farragut Road - Units Still Available","Rental","New Construction","3","986445","4215","3506","Farragut Rd","BK",,"3",,,,,,,,"3",,"11210","40.636567","-73.943033","317","45","3426573","3050100040","784","BK1702"
"4372","266 West 96th Street Apartments","Rental","New Construction","52","37229","6542","266","W 96th St","MN","27","12","11","2",,,,"19",,"33",,"10025","40.794953","-73.972523","107","07","1091038","1012437503","183","MN0702"
"1806","222 East 44th Street Phase II","Rental","New Construction","16","13694","3239","222","E 44th St","MN","8","7","1",,,,,,"16",,,"10017","40.751768","-73.972822","106","04","1089960","1013177501","88","MN0603"
"7324","69 Hope Street Apartments","Rental","New Construction","6","0","7779","69","HOPE STREET","BK","6",,,,,,,,,"6",,"11211","40.713053","-73.955408","301","34","3426934","3023690037","519","BK0102"
"2485","27-14 39th Avenue Apartments","Rental","New Construction","2","1007356","4041","27-14","39 AVENUE","QN",,"2",,,,,,,,"2",,"11101","40.754232","-73.935821","401","26","4004807","4003970017","31","QN0105"
"2444","Glassworks Waiting List","Rental","New Construction","19","966850","3956","336","Himrod St","BK","3","6","10",,,,,,,"19",,"11237","40.702314","-73.917665","304","37","3326367","3032807503","443","BK0401"
"4654","NEHEMIAH SPRING CREEK PHASE 4C","Rental","Preservation","7","991880","6606","435","Vandalia Avenue","BK",,"1","6",,,,,"7",,,,"11239","40.654559","-73.876304","305","42","3426788","3044520112","107001","BK0504"
"5421","525 W 52nd Street - Waiting List","Rental","New Construction","79","927213","7079","525","WEST 52 STREET","MN","19","39","21",,,,,"79",,,,"10019","40.766521","-73.992253","104","03","1090143","1010817501","13501","MN0402"
