"Event Name","Dates","Location","Venue","Phone","Headliners"
"Audrey Turner Band","Jul-19-2026","West Hollywood, California, USA","Whisky a Go Go","","Orianthi, Audrey Turner, more"
"Catskills Crossroads Blues Camp","Aug-11-2026 - Aug-14-2026","Big Indian, New York, USA","Full Moon Resort","(845) 254-8009",""
"Chenango Blues Festival","Aug-20-2026 - Aug-22-2026","Norwich, New York, USA","Chenango County Fairgrounds","(607) 334-5653","Booker T. Jones, Charlie Musselwhite & GA-20: Together Onstage; The Record Company, Carolyn Wonderland, Vanessa Collier, more"
"Trinidaddio Blues Fest","Aug-28-2026 - Aug-29-2026","Trinidad, Colorado, USA","Downtown Trinidad","","Vanessa Collier, Selwyn Birchwood, Harrell “Young Rell” Davenport, Dave Specter!, more"
"John Coltrane International Jazz & Blues Festival, 15th Annual","Sep-05-2026 - Sep-06-2026","High Point, North Carolina, USA","Oak Hollow Park","336-819-5299",""
"North Central Florida Blues Festival","Sep-19-2026","Gainesville, Florida, USA","Heartwood Soundstage","352-871-0676","Doug MacLeod, Doug Deming & the Jewel Tones, EG Kight, Sheba the Mississippi Queen, JW Gilmore, JC and The Backscratchers, Dr. Jules' Cool Blues, Josh Miller Blues Revue"
"Legendary Rhythm and Blues Cruise","Oct-31-2026 - Nov-07-2026","San Diego, California, USA","","",""
"Sandy Beaches Cruise","Jan-09-2027 - Jan-16-2027","Ft. Lauderdale, Florida, USA","Holland America Line Eurodam","855-487-2639","Keb' Mo', JJ Grey & Mofro, St. Paul & The Broken Bones, The California Honeydrops, The Band Of Heathens, Paul Thorn, Marc Broussard, Shinyribs, Mike Zito, Lee Roy Parnell, Carolyn Wonderland, Jimmy Hall, Wayne Toups, Jim Quick & Coastline, & More!"
"Big Easy Cruise, 4th Annual","Jan-16-2027 - Jan-23-2027","Fort Lauderdale, Florida, USA","Holland America Line Eurodam","855-923-7222","Keb’ Mo’, Samantha Fish, Robert Randolph, The Record Company, Duane Betts & Palmetto Motel, Jon Cleary & The Absolute Monster Gentlemen, Blind Boys of Alabama"
"Legendary Rhythm & Blues Cruise","Jan-31-2027 - Feb-07-2027","Ft. Lauderdale, Florida, USA","Holland America Nieuw Statendam","","TBA"
