rank,festival,date,venue,location,state,phone,website,status,booking_contact,email,notes
1,"However, some festivals had not set their",2026 dates at press time.,,,,,,,,,From Living Blues Festival Guide 2026
2,The Southern Soul & R&B Music Festival,"February 7, 2026",,"March 14, AL",AL,205.458.8400,www.bjcc.org,,,,From Living Blues Festival Guide 2026
3,Heritage Park,251.943.3291,,"Dothan, AL",AL,,www.foleybbqandblues.net,,,,From Living Blues Festival Guide 2026
4,Wilson Pickett,"March 28, 2026",Music and Arts Festival,Cooters Pond Park,AL,,,,,,From Living Blues Festival Guide 2026
5,The Orion Amphitheater,256.964.9556,theorionhuntsville.com,"Huntsville, AL",AL,,,,,,From Living Blues Festival Guide 2026
6,Festival,"April 25, 2026",,"May 3, AL",AL,205.426.1400,,,,,From Living Blues Festival Guide 2026
7,River Walk Amphitheater,,29th Annual Joe Douglas Old School &,"Montgomery, AL",AL,,www.rnbbluespicnic.com,,,,From Living Blues Festival Guide 2026
8,Hank Williams Festival,"June 5-6, 2026",,"Georgiana, AL",AL,334.376.2555,,,,,From Living Blues Festival Guide 2026
9,"June 6, 2026",,DeBardeleben Park,"Bessemer, AL",AL,251.525.2660,www.cacaoonline.org,,,,From Living Blues Festival Guide 2026
10,Summer Blues Camp 2026,"July 13-17, 2026",,"Florence, AL",AL,205.752.6263,www.alabamablues.orgW.C. Handy Music Festival,,,,From Living Blues Festival Guide 2026
11,Gulf Coast Ethnic & Heritage Jazz Festival,"July 23-26, 2026",,"September 12-13, AL",AL,251.478.4027,,,,,From Living Blues Festival Guide 2026
12,"Cullman, Alabama",256.739.6682,,"Dothan, AL",AL,,www.bernardbluesbbq.com,,,,From Living Blues Festival Guide 2026
13,Kentuck Festival of the Arts,"October 17-18, 2026",,"October 24, AL",AL,205.758.1257,www.kentuck.org,,,,From Living Blues Festival Guide 2026
14,VBC Propst Arena,256.533.1953,,"Wetumpka, AL",AL,334.567.5147,www.vonbrauncenter.com,,,,From Living Blues Festival Guide 2026
15,Burritt on the Mountain,256.536.2882,burrittonthemountain.com,"Huntsville, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
16,"Tuscaloosa, Alabama",205.887.6859,,Blues-Festival-100057153592608,Tba,,www.facebook.com/p/Johnny-Shines-,,,,From Living Blues Festival Guide 2026
17,Reverend Thomas Gilmore Square,205.372.0525,blackbeltfolkrootsfestival.weebly.com,"Eutaw, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
