ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
OLDER ADULT CENTER CONTRACTS,C0601,ABSW OAC (C06),ASSOCIATION OF BLACK SOCIAL WORKERS INC,221 West 107th Street,NEW YORK,NY,10025,MANHATTAN,212-749-8400,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.801704,-73.966593,107,07,195,1075379,1018790017,Morningside Heights,POINT (-73.966593 40.801704)
OLDER ADULT CENTER CONTRACTS,3YE01,ARCXVI FT WASHINGTONINC (3YE),ARC XVI FORT WASHINGTON INC,108 WEST  146 STREET,NEW YORK,NY,10039,MANHATTAN,212-281-1349,Y,,,,,,,,,,,,,,,40.821341,-73.936317,110,09,232,1060189,1020140036,Central Harlem North-Polo Grounds,POINT (-73.936317 40.821341)
HOME DELIVERED MEAL SERVICE CONTRACTS,46G01,JASA QUEENS HOME DELIVERED MEALS (46G),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 BEACH   19 STREET,FAR ROCKAWAY,NY,11691,QUEENS,212-273-5200,Y,,,,,,,,,,,,,,,40.593761,-73.753207,414,31,99802,4301622,4158100055,Far Rockaway-Bayswater,POINT (-73.753207 40.593761)
OLDER ADULT CENTER CONTRACTS,C5804,RAIN EASTCHESTER LATIN SOUL CAFÉ OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,1246 Burke Avenue,BRONX,NY,10469,BRONX,718-882-8513,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.871144,-73.851046,211,12,348,2093500,2045810001,Allerton-Pelham Gardens,POINT (-73.851046 40.871144)
OLDER ADULT CENTER CONTRACTS,C0101,AGUDATH ISRAEL BROOKDALE SENIOR CENTER (C01),AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC,817 Avenue H,BROOKLYN,NY,11230,BROOKLYN,718-434-8670,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.629268,-73.968686,314,45,460,3170160,3064960039,Flatbush,POINT (-73.968686 40.629268)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5202,GODDARD RIVERSIDE WEST SIDE NORC (N52),GODDARD-RIVERSIDE COMMUNITY CENTER,593 COLUMBUS AVENUE,NEW YORK,NY,10024,MANHATTAN,212-665-3853,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.788212,-73.970904,107,06,173,1079511,1012020001,Upper West Side,POINT (-73.970904 40.788212)
OLDER ADULT CENTER CONTRACTS,W1908,PSS HIGHBRIDGE (W19),PRESBYTERIAN SENIOR SERVICES,1181 Nelson Avenue,BRONX,NY,10452,BRONX,718-588-3004,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.837232,-73.925706,204,16,199,2003301,2025160051,Highbridge,POINT (-73.925706 40.837232)
OLDER ADULT CENTER CONTRACTS,C5301,OCEAN BAY CDC OLDER ADULT CENTER (C53),OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION,57-17 Shore Front Parkway,FAR ROCKAWAY,NY,11693,QUEENS,718-945-8640,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.588954,-73.788430,414,31,97202,4536732,4159260001,Hammels-Arverne-Edgemere,POINT (-73.78843 40.588954)
OLDER ADULT CENTER CONTRACTS,C3302,FIND AID COFFEEHOUSE CENTER (C33),FIND AID FOR THE AGED,331 West 42nd Street,NEW YORK,NY,10036,MANHATTAN,646-545-4621,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.757677,-73.990821,104,03,121,1083731,1010330049,Clinton,POINT (-73.990821 40.757677)
OLDER ADULT CENTER CONTRACTS,C2802,CYPRESS HILLS ADULT SOCIAL CLUB (C28),CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,475 Fountain Avenue,BROOKLYN,NY,11208,BROOKLYN,347-529-7333,Y,08:15,04:15,08:15,04:15,08:15,04:15,08:15,04:15,08:15,04:15,00:00,00:00,00:00,00:00,40.668288,-73.873005,305,42,1210,3337041,3042920061,East New York,POINT (-73.873005 40.668288)
