Fiscal Year,Provider Type,Site Name,Sponsor/Vendor,Geriatric Mental Health (GMH) Service Site,Site Type,DFTA ID,Site Address,Address Line 2,Borough,Zip Code,Community District,City Council District,X Coordinate,Y Coordinate,Latitude,Longitude,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
2023,Caregiver,PSS,PSS,,Main,1K1,325 East 156 Street,,Bronx,10451,201,17,1006947,238560,40.821439,-73.917995,2091224,2024160001,69,BX0102
2023,Older Adult Center,CCNS Pete McGuinness OAC,Catholic Charities Neighborhood Services Inc,,Main Site,C1711,715 Leonard Street,,Brooklyn,11222,301,33,997343,204877,40.729007,-73.95276,3333076,3025740053,575,BK0101
2023,Older Adult Center,Polish & Slavic Ctr Krakus OAC,Polish & Slavic Center Inc,Yes,Main Site,C5501,176 Java Street,,Brooklyn,11222,301,33,997116,205855,40.731692,-73.953577,3064615,3025510014,575,BK0101
2023,Older Adult Center,CCNS Northside OAC,Catholic Charities Neighborhood Services Inc,,Main Site,C1710,179 North 6th Street,,Brooklyn,11211,301,33,996076,200387,40.716685,-73.957339,3062100,3023280025,553,BK0102
2023,Older Adult Center,"Southside Los Sures ""David Santiago""",Southside United Housing Development Fund Corp,,Main Site,C7101,201 South 4th Street,,Brooklyn,11211,301,34,995295,198272,40.710881,-73.96016,3321304,3024320025,523,BK0102
2023,Older Adult Center,Bergen Basin Independence Older Adult Center,Bergen Basin Community Development Corporation,,Main Site,C0802,114 Taylor Street,,Brooklyn,11249,301,33,994314,196314,40.705508,-73.963702,3059905,3021760001,545,BK0103
2023,Older Adult Center,Congregation Yetev Lev --Williamsburg Satmar,Congregation Yetev Lev DSatmar,,Main Site,C2301,125 Heyward Street,,Brooklyn,11206,301,33,996407,194919,40.701676,-73.956155,3060997,3022250042,533,BK0103
2023,Elder Justice,JASA Elder Justice Brooklyn North,JASA,,Main Site,1.00E+04,204 Graham Ave,,Brooklyn,11206,301,34,999926,197572,40.708953,-73.943458,3344974,3030260001,49301,BK0104
2023,Grandparents Resource Center,GRC - MAP - Bushwick Houses,Grandparents Resource Center,,Satellite,DFTA04,50 Humboldt St,,Brooklyn,11206,301,34,1000675,195469,40.703179,-73.940761,3338434,3031290001,489,BK0104
2023,Naturally Occurring Retirement Community (NORC),JASA BUSHWICK HYLAN NORC,Jewish Association for Services for the Aged,,Main Site,N68-02,50 HUMBOLDT STREET,,Brooklyn,11206,301,34,1000675,195469,40.703179,-73.940761,3338434,3031290001,489,BK0104
2023,Naturally Occurring Retirement Community (NORC),LINDSAY PARK NORC,St Nick`s Alliance Corp.,,Main Site,N64,31 LEONARD STREET,,Brooklyn,11206,301,34,999205,195869,40.70428,-73.946062,3327972,3030770001,491,BK0104
2023,Older Adult Center,Borinquen Plaza,RiseBoro Community Partnership Inc,Yes,Main Site,W2001,80 Seigel Street,,Brooklyn,11206,301,34,999839,195901,40.704366,-73.943775,3071447,3030960030,491,BK0104
2023,Older Adult Center,JASA Williamsburg Older Adult Center,The Jewish Association For Services For The Aged,,Main Site,C8311,202 Graham Avenue,,Brooklyn,11206,301,34,999930,197545,40.708879,-73.943443,3344974,3030260001,49301,BK0104
2023,Older Adult Center,St Nicks Alliance Cooper Park Social Club,St Nicks Alliance Corp.,,Main Site,C7501,288 Frost Street,,Brooklyn,11211,301,34,1000922,201174,40.718837,-73.939856,3327829,3028670001,44901,BK0104
