venue,sponsor,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,notes
ARTURO SCHOMBURG,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,1315 Franklin Avenue,Bronx,10456,718-842-6880,Senior Center (DFTA),W1606,,,,,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
BETANCES,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,401 St Anns Avenue,Bronx,10454,718-292-4922,Senior Center (DFTA),W1601,,,,,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
BRONX HOUSE WEINBERG NEIGHBORHOOD SENIOR CENTER,BRONX HOUSE INC,990 Pelham Parkway South,Bronx,10461,718-792-1800,Senior Center (DFTA),C1001,,,,,Sponsor: BRONX HOUSE INC | Hours: 08:30-04:30 Mon-Fri
BRONX RIVER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,1619 East 174 Street,Bronx,10472,718-617-6334,Senior Center (DFTA),W1602,,,,,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
BRONXWORKS CAROLYN MCLAUGHLIN COMMUNITY CENTER -CONCOURSE OAC,BRONXWORKS INC,1130 Grand Concourse,Bronx,10455,718-508-3040,Senior Center (DFTA),C1101,,,,,Sponsor: BRONXWORKS INC | Hours: 09:00-05:00 Mon-Fri
BRONXWORKS E. ROBERTS MOORE OAC,BRONXWORKS INC,515 Jackson Avenue,Bronx,10455,718-665-5559,Senior Center (DFTA),C1102,,,,,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
BRONXWORKS EAST CONCOURSE (MY SPOT/MI RINCON OAC),BRONXWORKS INC,236 East Tremont Avenue,Bronx,10457,718-731-6300,Senior Center (DFTA),C1103,,,,,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
BRONXWORKS HEIGHTS SC,BRONXWORKS INC,200 West Tremont Avenue,Bronx,10453,718-299-0300,Senior Center (DFTA),C1104,,,,,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
BRONXWORKS MORRIS,BRONXWORKS INC,80 East 181st Street,Bronx,10453,718-933-5300,Senior Center (DFTA),C1106,,,,,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
BRONXWORKS SOUNDVIEW,BRONXWORKS INC,391 Bronx River Avenue,Bronx,10473,917-633-5951,Senior Center (DFTA),C1107,,,,,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
BRONXWORKS TWIN PARKS WEST,BRONXWORKS INC,355 EAST 183 Street,Bronx,10458,,Senior Center (DFTA),C1105,,,,,Sponsor: BRONXWORKS INC | Hours: 08:00-04:00 Mon-Fri
EAST SIDE HOUSE BORINQUEN COURT MITCHEL OAC,EAST SIDE HOUSE INC,295 East 138 Street,Bronx,10454,718-665-2168,Senior Center (DFTA),C3101,,,,,Sponsor: EAST SIDE HOUSE INC | Hours: 08:30-04:30 Mon-Fri
EAST SIDE HOUSE MELROSE OLDER ADULT CENTER,EAST SIDE HOUSE INC,372 E152 Street,Bronx,10455,718-665-2280,Senior Center (DFTA),C3102,,,,,Sponsor: EAST SIDE HOUSE INC | Hours: 08:00-04:00 Mon-Fri
HOPE OF ISRAEL SENIOR CITIZENS CENTER,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC,1068 Gerard Avenue,Bronx,10452,718-665-8400,Senior Center (DFTA),C4301,,,,,Sponsor: HOPE OF ISRAEL SENIOR CITIZENS CENTER INC | Hours: 09:00-05:00 Mon-Fri
JAMES MONROE,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,1780 Story Avenue,Bronx,10473,718-893-3484,Senior Center (DFTA),W1605,,,,,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
JASA BARTOW (COOP CITY NSC),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2049 Bartow Avenue,Bronx,10475,718-320-2066,Senior Center (DFTA),W2201,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 10:00-06:00 Mon-Fri
JASA BAY EDEN OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1220 East 229th Street,Bronx,10466,718-882-3815,Senior Center (DFTA),C8302,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA DREISER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,177 Dreiser Loop 2nd Flr.,Bronx,10475,718-320-1345,Senior Center (DFTA),W2202,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA EINSTEIN,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,135 EINSTEIN LOOP,Bronx,10475,718-320-2066,Senior Center (DFTA),W2203,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA SUE GINSBURG,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,975 Waring Avenue,Bronx,10469,718-881-1758,Senior Center (DFTA),C8303,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
