rank,priority,venue,sponsor,sponsor_center_count,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,website,notes
1,HIGH,PSS HARLEM,PRESBYTERIAN SENIOR SERVICES,10,127 West 127th Street,Manhattan,10027,212-222-3132,Senior Center (DFTA),W1906,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
2,HIGH,PSS KING TOWERS,PRESBYTERIAN SENIOR SERVICES,10,50 Lenox Avenue,Manhattan,10026,646-861-2077,Senior Center (DFTA),W1907,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
3,HIGH,PSS MANHATTANVILLE,PRESBYTERIAN SENIOR SERVICES,10,530 West 133rd Street,Manhattan,10027,212-862-5562,Senior Center (DFTA),W1905,,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
4,HIGH,RAIN INWOOD OAC,REGIONAL AID FOR INTERIM NEEDS INC,10,84 Vermilyea Avenue,Manhattan,10034,212-567-3200,Senior Center (DFTA),C5806,,,,Info@RainInc.org,https://www.raininc.org,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
5,HIGH,JASA CLUB 76 OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,120 West 76th Street,Manhattan,10023,212-712-0170,Senior Center (DFTA),C8304,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
6,MEDIUM,ARC XVI A. PHILIP RANDOLPH OAC,ARC XVI FORT WASHINGTON INC,4,108 West 146 Street,Manhattan,10039,212-281-1349,Senior Center (DFTA),C0501,,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: 09:00-05:00 Mon-Fri
7,MEDIUM,ARC XVI CENTRAL HARLEM CENTER,ARC XVI FORT WASHINGTON INC,4,120 West 140th Street,Manhattan,10030,347-919-5072,Senior Center (DFTA),C0502,,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: 09:00-05:00 Mon-Fri
8,MEDIUM,ARC XVI FORT WASHINGTON OAC,ARC XVI FORT WASHINGTON INC,4,516 W 181th Street,Manhattan,10033,212-781-5700,Senior Center (DFTA),C0503,,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: 09:00-05:00 Mon-Fri
9,MEDIUM,ARCXVI FT WASHINGTONINC,ARC XVI FORT WASHINGTON INC,4,108 WEST 146 STREET,Manhattan,10039,212-281-1349,Senior Center (DFTA),3YE01,,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: - Mon-Fri
10,MEDIUM,CARTER BURDEN LUNCHEON CLUB & SOCIAL SERVICE UNIT,CARTER BURDEN NETWORK INC.,4,351 East 74th Street,Manhattan,10021,646-937-3520,Senior Center (DFTA),C1601,,,,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 08:00-04:00 Mon-Fri
11,MEDIUM,CBN LEONARD COVELLO SENIOR PROGRAM,CARTER BURDEN NETWORK INC.,4,312 East 109th Street,Manhattan,10029,212-423-9665,Senior Center (DFTA),C1603,,,,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 08:00-04:00 Mon-Fri
12,MEDIUM,CBN ROOSEVELT ISLAND SENIOR CENTER,CARTER BURDEN NETWORK INC.,4,546 Main Street,Manhattan,10044,212-980-1888,Senior Center (DFTA),C1605,,,,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 09:00-05:00 Mon-Fri
13,MEDIUM,LEHMAN VILLAGE SENIOR PROGRAM (SOCIAL CLUB),CARTER BURDEN NETWORK INC.,4,1641 Madison Avenue,Manhattan,10029,646-370-5642,Senior Center (DFTA),C1604,,,,contactus@carterburdennetwork.org,https://www.carterburdennetwork.org,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 08:00-04:00 Mon-Fri
